MÓDULO 1 Productor-Consumidor
Buffer      : 10
Trabajadores: 3
Paquetes    : 20
[21:53:34] PRODUCTOR  Paquete #1 | Destino: CDMX | Peso: 11.0 kg | Cola: 1/10
[21:53:34] TRABAJADOR 1 Procesando #01 | Destino: CDMX         | Cola restante: 0
[21:53:34] PRODUCTOR  Paquete #2 | Destino: Monterrey | Peso: 5.1 kg | Cola: 1/10
[21:53:34] TRABAJADOR 2 Procesando #02 | Destino: Monterrey    | Cola restante: 0
[21:53:34] PRODUCTOR  Paquete #3 | Destino: Guadalajara | Peso: 11.1 kg | Cola: 1/10
[21:53:34] TRABAJADOR 3 Procesando #03 | Destino: Guadalajara  | Cola restante: 0
[21:53:34] TRABAJADOR 1 Entregado  #01 | Destino: CDMX        
[21:53:35] PRODUCTOR  Paquete #4 | Destino: Guadalajara | Peso: 8.1 kg | Cola: 1/10
[21:53:35] TRABAJADOR 1 Procesando #04 | Destino: Guadalajara  | Cola restante: 0
[21:53:35] PRODUCTOR  Paquete #5 | Destino: Guadalajara | Peso: 1.1 kg | Cola: 1/10
[21:53:35] TRABAJADOR 2 Entregado  #02 | Destino: Monterrey   
[21:53:35] TRABAJADOR 2 Procesando #05 | Destino: Guadalajara  | Cola restante: 0
[21:53:35] TRABAJADOR 3 Entregado  #03 | Destino: Guadalajara 
[21:53:35] PRODUCTOR  Paquete #6 | Destino: Monterrey | Peso: 3.7 kg | Cola: 1/10
[21:53:35] TRABAJADOR 3 Procesando #06 | Destino: Monterrey    | Cola restante: 0
[21:53:35] TRABAJADOR 1 Entregado  #04 | Destino: Guadalajara 
[21:53:35] TRABAJADOR 2 Entregado  #05 | Destino: Guadalajara 
[21:53:35] PRODUCTOR  Paquete #7 | Destino: Monterrey | Peso: 12.2 kg | Cola: 1/10
[21:53:35] TRABAJADOR 1 Procesando #07 | Destino: Monterrey    | Cola restante: 0
[21:53:35] TRABAJADOR 3 Entregado  #06 | Destino: Monterrey   
