Modulo 2 - Sistema de Paqueteria: Condicion de Carrera 
Trabajadores: 8 | Despachos/trabajador: 10 | Esperado: 80


 Ronda 1  SIN mutex  (registro sin proteccion)

  [TRABAJADOR 1] Despachado | Leyo: 0 | Escribio: 1 | Total ahora: 1
  [TRABAJADOR 1] Despachado | Leyo: 1 | Escribio: 2 | Total ahora: 2
  [TRABAJADOR 1] Despachado | Leyo: 2 | Escribio: 3 | Total ahora: 3
  [TRABAJADOR 1] Despachado | Leyo: 3 | Escribio: 4 | Total ahora: 4
  [TRABAJADOR 1] Despachado | Leyo: 4 | Escribio: 5 | Total ahora: 5
  [TRABAJADOR 1] Despachado | Leyo: 5 | Escribio: 6 | Total ahora: 6
  [TRABAJADOR 2] Despachado | Leyo: 5 | Escribio: 6 | Total ahora: 6
  [TRABAJADOR 3] Despachado | Leyo: 5 | Escribio: 6 | Total ahora: 6
  [TRABAJADOR 1] Despachado | Leyo: 6 | Escribio: 7 | Total ahora: 7
  [TRABAJADOR 3] Despachado | Leyo: 6 | Escribio: 7 | Total ahora: 7
  [TRABAJADOR 2] Despachado | Leyo: 6 | Escribio: 7 | Total ahora: 7
  [TRABAJADOR 5] Despachado | Leyo: 6 | Escribio: 7 | Total ahora: 7
  [TRABAJADOR 4] Despachado | Leyo: 6 | Escribio: 7 | Total ahora: 7
  [TRABAJADOR 1] Despachado | Leyo: 7 | Escribio: 8 | Total ahora: 8
  [TRABAJADOR 2] Despachado | Leyo: 7 | Escribio: 8 | Total ahora: 8
  [TRABAJADOR 3] Despachado | Leyo: 7 | Escribio: 8 | Total ahora: 8
  [TRABAJADOR 1] Despachado | Leyo: 8 | Escribio: 9 | Total ahora: 9
  [TRABAJADOR 4] Despachado | Leyo: 7 | Escribio: 8 | Total ahora: 8
  [TRABAJADOR 5] Despachado | Leyo: 7 | Escribio: 8 | Total ahora: 8
  [TRABAJADOR 4] Despachado | Leyo: 8 | Escribio: 9 | Total ahora: 9
  [TRABAJADOR 3] Despachado | Leyo: 8 | Escribio: 9 | Total ahora: 9
  [TRABAJADOR 1] Despachado | Leyo: 9 | Escribio: 10 | Total ahora: 10
  [TRABAJADOR 7] Despachado | Leyo: 9 | Escribio: 10 | Total ahora: 10
  [TRABAJADOR 4] Despachado | Leyo: 9 | Escribio: 10 | Total ahora: 10
  [TRABAJADOR 2] Despachado | Leyo: 8 | Escribio: 9 | Total ahora: 9
  [TRABAJADOR 5] Despachado | Leyo: 8 | Escribio: 9 | Total ahora: 9
  [TRABAJADOR 3] Despachado | Leyo: 9 | Escribio: 10 | Total ahora: 10
  [TRABAJADOR 6] Despachado | Leyo: 8 | Escribio: 9 | Total ahora: 9
  [TRABAJADOR 8] Despachado | Leyo: 10 | Escribio: 11 | Total ahora: 11
  [TRABAJADOR 7] Despachado | Leyo: 10 | Escribio: 11 | Total ahora: 11
  [TRABAJADOR 4] Despachado | Leyo: 10 | Escribio: 11 | Total ahora: 11
  [TRABAJADOR 4] Despachado | Leyo: 11 | Escribio: 12 | Total ahora: 12
  [TRABAJADOR 4] Despachado | Leyo: 12 | Escribio: 13 | Total ahora: 13
  [TRABAJADOR 4] Despachado | Leyo: 13 | Escribio: 14 | Total ahora: 14
